,id,name,reviews_rating,reviews_username
0,AV13O1A8GV-KLJ3akUyj,Pink Friday: Roman Reloaded Re-Up (w/dvd),5,joshua
1,AV14LG0R-jtxr-f38QfS,Lundberg Organic Cinnamon Toast Rice Cakes,5,dorothy w
3,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,rebecca
4,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,walker557
5,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,samantha
6,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,raeanne
7,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,kimmie
8,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,cassie
9,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,moore222
10,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,jds1992
11,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,bre234
13,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,gordy313
14,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,nicole
15,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,cvperez
16,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,beccagrl532
17,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,1,sanchez
18,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,3,ll24
19,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,3,browns fan
20,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,4,just faith everyday
21,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,4,vero
22,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,4,jo276
23,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,ashley a
24,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,jp71
25,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,jkell
26,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,karen
27,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,warren
28,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,mas0814
29,AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,5,amanda
30,AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,peach pie
31,AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,birdwoman
32,AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,michelle
33,AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,jean z
34,AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,vanessa mcnally
35,AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",5,5alarm
36,AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,4,danielle
37,AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,5,shedove
38,AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,5,cynthiacc
39,AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,5,dfwatheartgirl
40,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",1,crissyx5
41,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",2,nyisha m
42,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",3,gardenbunny318
43,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",4,solo
45,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",4,sasparilla
46,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",4,mkris18
47,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",4,momof2
48,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,mommyshappy8714
49,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,eyo
50,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,anonymous8589
51,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,jazzymom
52,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,ramona831
53,AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",5,morgiana
54,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,alnscoob97
55,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,star33
56,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,jacmary
57,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,mabelle
58,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,kayc
59,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,jen717
60,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,piggyboy420
61,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,darklin
62,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,docless82
63,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,1,sash
64,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,2,jharris20
65,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,2,sewinglover
66,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,2,kikkle
67,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,mylifeinheels
68,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,leni
69,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,silvereagle
70,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,sheba
71,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,fedfan5
72,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,milo36
73,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,sarahanne
74,AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream,3,hawkjr
